dish_name,normalized_name,source_site,source_url,source_type,rating,review_count,recipe_count,quality_filter,note
おから,おから,楽天レシピ,https://recipe.rakuten.co.jp/category/35-466/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
ハンバーグ,ハンバーグ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-300/,category_with_recipe_count,,,15460,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
ハンバーグステーキ,ハンバーグステーキ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-300-1130/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
煮込みハンバーグ,煮込みハンバーグ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-300-1131/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
和風ハンバーグ,和風ハンバーグ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-300-1132/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
豆腐ハンバーグ,豆腐ハンバーグ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-300-1135/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
おからハンバーグ,おからハンバーグ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-300-1133/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
照り焼きハンバーグ,照り焼きハンバーグ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-300-1134/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
その他のハンバーグ,その他のハンバーグ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-300-1136/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
ハンバーグ 付け合わせ,ハンバーグ付け合わせ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-300-2171/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
餃子,ぎょうざ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-301/,category_with_recipe_count,,,10942,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
焼き餃子,焼きぎょうざ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-301-1138/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
水餃子,水ぎょうざ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-301-1137/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
蒸し餃子,蒸しぎょうざ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-301-1139/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
揚げ餃子,揚げぎょうざ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-301-1140/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
スープ餃子,スープぎょうざ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-301-1141/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
その他の餃子,その他のぎょうざ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-301-1142/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
餃子の皮,ぎょうざの皮,楽天レシピ,https://recipe.rakuten.co.jp/category/30-301-2172/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
肉じゃが,肉じゃが,楽天レシピ,https://recipe.rakuten.co.jp/category/30-302/,category_with_recipe_count,,,5249,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
カレー,カレー,楽天レシピ,https://recipe.rakuten.co.jp/category/30-307/,category_with_recipe_count,,,26794,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
チキンカレー,チキンカレー,楽天レシピ,https://recipe.rakuten.co.jp/category/30-307-1159/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
ポークカレー,ポークカレー,楽天レシピ,https://recipe.rakuten.co.jp/category/30-307-1166/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
ビーフカレー,ビーフカレー,楽天レシピ,https://recipe.rakuten.co.jp/category/30-307-1165/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
野菜カレー,野菜カレー,楽天レシピ,https://recipe.rakuten.co.jp/category/30-307-1164/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
ドライカレー,ドライカレー,楽天レシピ,https://recipe.rakuten.co.jp/category/30-307-1157/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
キーマカレー,キーマカレー,楽天レシピ,https://recipe.rakuten.co.jp/category/30-307-1158/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
牛すじカレー,牛すじカレー,楽天レシピ,https://recipe.rakuten.co.jp/category/30-307-2173/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
シーフードカレー,シーフードカレー,楽天レシピ,https://recipe.rakuten.co.jp/category/30-307-1161/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
スープカレー,スープカレー,楽天レシピ,https://recipe.rakuten.co.jp/category/30-307-1160/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
インドカレー,インドカレー,楽天レシピ,https://recipe.rakuten.co.jp/category/30-307-1162/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
